Word Ngram Statistic for 1..10-grams


RANK	NGramm	F
883	b0 == 0xef &&	1
884	() b0 == 0xef	1
885	public class Utils {}	1
886	{} public static bool	1
887	Utils {} public static	1
888	{} public class Utils	1
889	NGramm {} public class	1
890	namespace NGramm {} public	1
891	class Utils {} public	1
892	static Encoding GetEncoding ()	1
893	() string filename {}	1
894	GetEncoding () string filename	1
895	public static Encoding GetEncoding	1
896	IsDigit () ch ;	1
897	{} return char .	1
898	byte [] 4 ;	1
899	new byte [] 4	1
900	IsVariableChar () char ch	1
901	byte [] bom =	1
902	= new byte []	1
903	Read () bom ,	1
904	bool IsVariableChar () char	1
905	return ch == ''	1
906	{} return ch ==	1
907	public static bool IsVariableChar	1
908	static bool IsVariableChar ()	1
909	ch {} return ch	1
910	ch == '' ||	1
911	0xfe && b1 ==	1
912	== 0xff && b1	1
913	b0 == 0xff &&	1
914	== 0xfe && b1	1
915	b1 == 0xff return	1
916	&& b1 == 0xff	1
917	() b0 == 0xff	1
918	&& b1 == 0xfe	1
919	b2 == 0xfe &&	1
920	&& b2 == 0xfe	1
921	0xff && b1 ==	1
922	== 0xfe return Encoding	1
923	b1 == 0xfe return	1
924	'' || char .	1
925	== '' || char	1
926	public static bool IsDigit	1
927	Encoding GetEncoding () string	1
928	ch {} return char	1
929	IsLetterOrDigit () ch ;	1
930	IsDigit () char ch	1
931	b0 == 0xfe &&	1
932	() b0 == 0xfe	1
933	0xfe return Encoding .	1
934	bool IsDigit () char	1
935	static bool IsDigit ()	1
936	{} byte b0 =	1
